level_1,level_2,level_3,level_4,level_5,radius_mm
deformable,record_330_fat_empty_13,sample_0005,,,22.8
deformable,record_330_fat_empty_13,sample_0006,,,22.8
deformable,record_330_fat_empty_13,sample_0007,,,23.3
deformable,record_330_fat_empty_13,sample_0008,,,21.9
deformable,record_330_fat_empty_13,sample_0009,,,22.6
deformable,record_330_fat_empty_13,sample_0010,,,22.1
deformable,record_330_fat_empty_13,sample_0011,,,22.2
deformable,record_330_fat_empty_13,sample_0012,,,24.6
deformable,record_330_fat_empty_13,sample_0013,,,24.0
deformable,record_330_fat_empty_13,sample_0014,,,24.8
deformable,record_330_fat_empty_13,sample_0015,,,24.5
deformable,record_330_fat_empty_13,sample_0016,,,25.3
deformable,record_330_fat_empty_13,sample_0017,,,24.1
deformable,record_330_fat_empty_13,sample_0018,,,24.7
deformable,record_330_fat_empty_13,sample_0019,,,25.8
deformable,record_330_fat_empty_13,sample_0020,,,24.6
deformable,record_330_fat_empty_13,sample_0021,,,23.6
deformable,record_330_fat_empty_13,sample_0022,,,22.3
deformable,record_330_fat_empty_13,sample_0023,,,23.8
deformable,record_330_fat_empty_13,sample_0024,,,23.3
deformable,record_330_fat_empty_14,sample_0000,,,24.7
deformable,record_330_fat_empty_14,sample_0001,,,23.4
deformable,record_330_fat_empty_14,sample_0002,,,24.0
deformable,record_330_fat_empty_14,sample_0003,,,22.4
deformable,record_330_fat_empty_14,sample_0004,,,23.0
deformable,record_330_fat_empty_14,sample_0005,,,24.7
deformable,record_330_fat_empty_14,sample_0006,,,24.8
deformable,record_330_fat_empty_14,sample_0007,,,24.7
deformable,record_330_fat_empty_14,sample_0008,,,23.5
deformable,record_330_fat_empty_14,sample_0009,,,25.0
deformable,record_330_fat_empty_14,sample_0010,,,22.9
deformable,record_330_fat_empty_14,sample_0011,,,24.3
deformable,record_330_fat_empty_14,sample_0012,,,24.3
deformable,record_330_fat_empty_14,sample_0013,,,25.5
deformable,record_330_fat_empty_14,sample_0014,,,23.3
deformable,record_330_fat_empty_14,sample_0015,,,23.9
deformable,record_330_fat_empty_14,sample_0016,,,22.5
deformable,record_330_fat_empty_14,sample_0017,,,23.9
deformable,record_330_fat_empty_14,sample_0018,,,24.6
deformable,record_330_fat_empty_14,sample_0019,,,25.2
deformable,record_330_fat_empty_14,sample_0020,,,24.3
deformable,record_330_fat_empty_14,sample_0021,,,26.3
deformable,record_330_fat_empty_14,sample_0022,,,25.3
deformable,record_330_fat_empty_14,sample_0023,,,24.8
deformable,record_330_fat_empty_2,sample_0000,,,71.0
deformable,record_330_fat_empty_2,sample_0001,,,71.0
deformable,record_330_fat_empty_2,sample_0002,,,71.0
deformable,record_330_fat_empty_2,sample_0003,,,71.0
deformable,record_330_fat_empty_2,sample_0004,,,71.0
deformable,record_330_fat_empty_2,sample_0005,,,68.9
deformable,record_330_fat_empty_2,sample_0006,,,71.0
deformable,record_330_fat_empty_2,sample_0007,,,71.0
deformable,record_330_fat_empty_2,sample_0008,,,71.0
deformable,record_330_fat_empty_2,sample_0009,,,71.0
deformable,record_330_fat_empty_2,sample_0010,,,71.0
deformable,record_330_fat_empty_2,sample_0011,,,71.0
deformable,record_330_fat_empty_2,sample_0012,,,71.0
deformable,record_330_fat_empty_3,sample_0000,,,32.1
deformable,record_330_fat_empty_3,sample_0001,,,34.1
deformable,record_330_fat_empty_3,sample_0002,,,32.1
deformable,record_330_fat_empty_3,sample_0003,,,33.6
deformable,record_330_fat_empty_3,sample_0004,,,32.1
deformable,record_330_fat_empty_3,sample_0005,,,37.5
deformable,record_330_fat_empty_3,sample_0006,,,36.7
deformable,record_330_fat_empty_3,sample_0007,,,37.5
deformable,record_330_fat_empty_3,sample_0008,,,37.5
deformable,record_330_fat_empty_3,sample_0009,,,37.5
deformable,record_330_fat_empty_3,sample_0010,,,34.1
deformable,record_330_fat_empty_3,sample_0011,,,37.5
deformable,record_330_fat_empty_3,sample_0012,,,37.5
deformable,record_330_fat_empty_3,sample_0013,,,34.1
deformable,record_330_fat_empty_3,sample_0014,,,37.5
deformable,record_330_fat_empty_3,sample_0015,,,37.5
deformable,record_330_fat_empty_3,sample_0016,,,37.5
deformable,record_330_fat_empty_3,sample_0017,,,34.1
deformable,record_330_fat_empty_3,sample_0018,,,34.1
deformable,record_330_fat_empty_3,sample_0019,,,34.1
deformable,record_330_fat_empty_3,sample_0020,,,34.1
deformable,record_330_fat_empty_3,sample_0021,,,34.1
deformable,record_330_fat_empty_3,sample_0022,,,34.1
deformable,record_330_fat_empty_3,sample_0023,,,34.1
deformable,record_330_fat_empty_3,sample_0024,,,34.1
deformable,record_330_fat_empty_4,sample_0000,,,36.9
deformable,record_330_fat_empty_4,sample_0001,,,34.4
deformable,record_330_fat_empty_4,sample_0002,,,33.7
deformable,record_330_fat_empty_4,sample_0003,,,34.0
deformable,record_330_fat_empty_4,sample_0004,,,33.9
deformable,record_330_fat_empty_4,sample_0005,,,33.5
deformable,record_330_fat_empty_4,sample_0006,,,33.9
deformable,record_330_fat_empty_4,sample_0007,,,37.3
deformable,record_330_fat_empty_4,sample_0008,,,34.0
deformable,record_330_fat_empty_4,sample_0009,,,34.5
deformable,record_330_fat_empty_4,sample_0010,,,33.0
deformable,record_330_fat_empty_4,sample_0011,,,33.9
deformable,record_330_fat_empty_4,sample_0012,,,37.3
deformable,record_330_fat_empty_4,sample_0013,,,37.3
deformable,record_330_fat_empty_4,sample_0014,,,33.7
deformable,record_330_fat_empty_4,sample_0015,,,32.6
deformable,record_330_fat_empty_4,sample_0016,,,32.6
deformable,record_330_fat_empty_4,sample_0017,,,33.7
deformable,record_330_fat_empty_4,sample_0018,,,33.7
deformable,record_330_fat_empty_4,sample_0019,,,33.1
deformable,record_330_fat_empty_4,sample_0020,,,34.7
deformable,record_330_fat_empty_4,sample_0021,,,32.3
deformable,record_330_fat_empty_4,sample_0022,,,38.2
deformable,record_330_fat_empty_4,sample_0023,,,36.8
deformable,record_330_fat_empty_4,sample_0024,,,32.8
deformable,record_330_fat_empty_4,sample_0025,,,32.9
deformable,record_330_fat_empty_4,sample_0026,,,34.4
deformable,record_330_fat_empty_5,sample_0000,,,33.2
deformable,record_330_fat_empty_5,sample_0001,,,30.8
deformable,record_330_fat_empty_5,sample_0002,,,34.6
deformable,record_330_fat_empty_5,sample_0003,,,30.8
deformable,record_330_fat_empty_5,sample_0004,,,35.6
deformable,record_330_fat_empty_5,sample_0005,,,31.8
deformable,record_330_fat_empty_5,sample_0006,,,32.3
deformable,record_330_fat_empty_5,sample_0007,,,33.4
deformable,record_330_fat_empty_5,sample_0008,,,34.0
deformable,record_330_fat_empty_5,sample_0009,,,29.5
